program_code,program_name,qualification,university_code
0010135,ჟურნალისტიკა და მასობრივი კომუნიკაცია (ქართული რუსულენოვანი კომპონენტებით) კვალიფიკაცია: სოციალური მეცნიერებების ბაკალავრი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 01-07-2028 ქართული ენა ფინანსდება 240 2250 10 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 5 41%-ზე მეტი 1 უცხოური ენა (ინგ.; რუს.; გერ.; ფრა.) 5 51%-ზე მეტი 2 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 2 41%-ზე მეტი 3 1 ისტორია 2 41%-ზე მეტი 3 5 გეოგრაფია 2 41%-ზე მეტი 3 1 ლიტერატურა 2 41%-ზე მეტი 3 2 სამოქალაქო განათლება 2 41%-ზე მეტი 3 1 71 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 16:49,,001
0010136,ეკონომიკა კვალიფიკაცია: ეკონომიკის ბაკალავრი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 31-12-2028 ქართული ენა ფინანსდება 240 2250 500 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 3 25%-ზე მეტი 3 უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 3 20%-ზე მეტი 2 მათემატიკა 6 20%-ზე მეტი 1 72 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010137,ბიზნესის ადმინისტრირება (180 კრედიტი) კვალიფიკაცია: ბიზნესის ადმინისტრირების ბაკალავრი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 29-11-2031 ქართული ენა ფინანსდება 180 2250 700 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 3 25%-ზე მეტი 3 უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 3 20%-ზე მეტი 2 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 6 20%-ზე მეტი 1 350 ისტორია 6 25%-ზე მეტი 1 350 73 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010138,ტურიზმი კვალიფიკაცია: ბიზნესის ადმინისტრირების ბაკალავრი ტურიზმში აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 30-06-2030 ქართული ენა ფინანსდება 240 2250 300 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 3 25%-ზე მეტი 3 უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 6 20%-ზე მეტი 1 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 3 20%-ზე მეტი 2 30 ისტორია 3 25%-ზე მეტი 2 135 გეოგრაფია 3 25%-ზე მეტი 2 135 74 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010139,ეკონომიკის საერთაშორისო სკოლის (ISET) სა კვალიფიკაცია: ეკონომიკის ბაკალავრი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 30-06-2026 ინგლისური ენა ფინანსდება 240 3490 165 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 2 25%-ზე მეტი 3 უცხოური ენა (ინგ.) 4 65%-ზე მეტი 2 მათემატიკა 6 50%-ზე მეტი 1 75 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,ბაკალავრო პროგრამა ეკონომიკაში (ინგლისურენოვანი),001
0010140,სამართალი კვალიფიკაცია: სამართლის ბაკალავრი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 01-07-2026 ქართული ენა ფინანსდება 240 2250 800 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 5 35%-ზე მეტი 1 უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 3 35%-ზე მეტი 3 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 4 20%-ზე მეტი 2 300 ისტორია 4 35%-ზე მეტი 2 420 სამოქალაქო განათლება 4 35%-ზე მეტი 2 80 76 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010141,საერთაშორისო სამართალი კვალიფიკაცია: საერთაშორისო სამართლის ბაკალავრი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 01-07-2026 ქართული ენა ფინანსდება 240 2250 100 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 4 35%-ზე მეტი 2 უცხოური ენა (ინგ.) 5 35%-ზე მეტი 1 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 3 20%-ზე მეტი 3 30 ისტორია 3 35%-ზე მეტი 3 55 სამოქალაქო განათლება 3 35%-ზე მეტი 3 15 77 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010142,ევროპისმცოდნეობა კვალიფიკაცია: ევროპისმცოდნეობის ბაკალავრი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 30-06-2026 ქართული ენა ფინანსდება 240 2250 100 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 4 35%-ზე მეტი 2 უცხოური ენა (ინგ.) 5 35%-ზე მეტი 1 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 3 20%-ზე მეტი 3 30 ისტორია 3 35%-ზე მეტი 3 70 78 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010143,ფსიქოლოგია კვალიფიკაცია: მეცნიერების ბაკალავრი ფსიქოლოგიაში აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 31-12-2028 ქართული ენა ფინანსდება 240 2250 325 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 4 40%-ზე მეტი 1 უცხოური ენა (გერ.; ინგ.; ფრან.) 4 40%-ზე მეტი 2 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 4 25%-ზე მეტი 3 60 ისტორია 4 40%-ზე მეტი 3 135 ბიოლოგია 4 40%-ზე მეტი 3 130 79 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010144,დაწყებითი საფეხურის მასწავლებლის მომზადების ინტეგრირებული სა კვალიფიკაცია: განათლების მაგისტრი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 06-08-2032 ქართული ენა ფინანსდება 300 2250 100 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 5 50%-ზე მეტი 1 უცხოური ენა (ინგ.; გერ.; ფრა.) 2 40%-ზე მეტი 3 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 5 30%-ზე მეტი 2 60 ისტორია 5 50%-ზე მეტი 2 40 80 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,ბაკალავრო-სამაგისტრო საგანმანათლებლო პროგრამა,001
